objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1770,E05002283,Old Bracknell, ,486841,167642,-0.75300002,51.40116882,0.000169822708016663,0.0728015770667289
1771,E05002284,Owlsmoor, ,486435,162957,-0.75997001,51.35911179,0.000509472446365093,0.130270072846716
1772,E05002285,Priestwood and Garth, ,486383,169756,-0.75906998,51.42023849,0.000289714566472688,0.0941229499182693
1773,E05002286,Warfield Harvest Ride, ,488181,170372,-0.73306,51.42549896,0.000230354440364705,0.129888100555083
1774,E05002287,Wildridings and Central, ,486603,168599,-0.75619,51.40980911,0.000235745290162706,0.0800320830672406
1775,E05002288,Winkfield and Cranbourne, ,491864,172167,-0.67964,51.44105148,0.0031692061011858,0.362018236566551
1776,E05002289,Aldermaston, ,457819,165556,-1.17048001,51.3861084,0.0044107797138217,0.374221153016527
1777,E05002290,Basildon, ,458087,179038,-1.16442001,51.50728989,0.00464671113959313,0.438076725872994
1778,E05002291,Birch Copse, ,466074,172983,-1.05048001,51.45198059,0.000458174932290782,0.151531700410165
1779,E05002292,Bucklebury, ,455965,171702,-1.19614995,51.44155121,0.00706203869343254,0.481524058290342
1780,E05002293,Burghfield, ,467297,168838,-1.03366995,51.41456985,0.00221201238154279,0.272497120930584
1781,E05002294,Calcot, ,466869,172052,-1.03921998,51.44351959,0.000418622149691474,0.119147819166139
1782,E05002295,Chieveley, ,448572,173582,-1.30225003,51.45912933,0.00270042472307656,0.283893697471817
1783,E05002296,Clay Hill, ,448662,167866,-1.30174005,51.4077301,0.000212382545126224,0.0786865445757801
1784,E05002297,Cold Ash, ,450167,170454,-1.27973998,51.43087006,0.00100077894691339,0.19187199878712
1785,E05002298,Compton, ,453722,177359,-1.22756004,51.49263,0.00633719211185863,0.509386829173756
1786,E05002299,Downlands, ,444101,180005,-1.36580002,51.51725006,0.0116245571061137,0.622756856814296
1787,E05002300,Falkland, ,445899,165062,-1.34182,51.38275146,0.000342480809951961,0.111186281052257
